@relation 2014_Summary_Industry

@attribute 'Industry Code' {111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,HS,ORE}
@attribute 'Industry Name' {Farms,'Forestry, fishing, and related activities','Oil and gas extraction','Mining, except oil and gas','Support activities for mining',Utilities,Construction,'Food and beverage and tobacco products','Textile mills and textile product mills','Apparel and leather and allied products','Wood products','Paper products','Printing and related support activities','Petroleum and coal products','Chemical products','Plastics and rubber products','Nonmetallic mineral products','Primary metals','Fabricated metal products',Machinery,'Computer and electronic products','Electrical equipment, appliances, and components','Motor vehicles, bodies and trailers, and parts','Other transportation equipment','Furniture and related products','Miscellaneous manufacturing','Wholesale trade','Motor vehicle and parts dealers','Food and beverage stores','General merchandise stores','Air transportation','Rail transportation','Water transportation','Truck transportation','Transit and ground passenger transportation','Pipeline transportation','Other transportation and support activities','Warehousing and storage','Other retail','Publishing industries, except internet (includes software)','Motion picture and sound recording industries','Broadcasting and telecommunications','Data processing, internet publishing, and other information services','Federal Reserve banks, credit intermediation, and related activities','Securities, commodity contracts, and investments','Insurance carriers and related activities','Funds, trusts, and other financial vehicles','Rental and leasing services and lessors of intangible assets','Legal services','Miscellaneous professional, scientific, and technical services','Computer systems design and related services','Management of companies and enterprises','Administrative and support services','Waste management and remediation services','Educational services','Ambulatory health care services',Hospitals,'Nursing and residential care facilities','Social assistance','Performing arts, spectator sports, museums, and related activities','Amusements, gambling, and recreation industries',Accommodation,'Food services and drinking places','Other services, except government',Housing,'Other real estate'}
@attribute Substance {'carbon dioxide',methane,'nitrous oxide','other GHGs'}
@attribute Unit {'kg/2018 USD, purchaser price','kg CO2e/2018 USD, purchaser price'}
@attribute 'Supply Chain Emission Factors without Margins' numeric
@attribute 'Margins of Supply Chain Emission Factors' numeric
@attribute 'Supply Chain Emission Factors with Margins' numeric
@attribute 'Unnamed: 7' string
@attribute 'DQ ReliabilityScore of Factors without Margins' numeric
@attribute 'DQ TemporalCorrelation of Factors without Margins' numeric
@attribute 'DQ GeographicalCorrelation of Factors without Margins' numeric
@attribute 'DQ TechnologicalCorrelation of Factors without Margins' numeric
@attribute 'DQ DataCollection of Factors without Margins' numeric

@data
313TT,'Textile mills and textile product mills','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,4,1
313TT,'Textile mills and textile product mills','other GHGs','kg CO2e/2018 USD, purchaser price',0.006,0,0.006,?,3,2,1,3,1
315AL,'Apparel and leather and allied products','carbon dioxide','kg/2018 USD, purchaser price',0.104,0.011,0.115,?,3,2,1,3,1
315AL,'Apparel and leather and allied products',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
315AL,'Apparel and leather and allied products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,4,1
315AL,'Apparel and leather and allied products','other GHGs','kg CO2e/2018 USD, purchaser price',0.002,0,0.002,?,3,2,1,4,1
321,'Wood products','carbon dioxide','kg/2018 USD, purchaser price',0.219,0.017,0.236,?,3,2,1,3,1
321,'Wood products',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
321,'Wood products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,4,1
321,'Wood products','other GHGs','kg CO2e/2018 USD, purchaser price',0.01,0,0.01,?,4,2,1,4,1
322,'Paper products','carbon dioxide','kg/2018 USD, purchaser price',0.449,0.019,0.467,?,3,2,1,4,1
322,'Paper products',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
322,'Paper products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
322,'Paper products','other GHGs','kg CO2e/2018 USD, purchaser price',0.005,0,0.005,?,3,2,1,3,1
323,'Printing and related support activities','carbon dioxide','kg/2018 USD, purchaser price',0.253,0.016,0.268,?,3,2,1,4,1
323,'Printing and related support activities',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
323,'Printing and related support activities','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
323,'Printing and related support activities','other GHGs','kg CO2e/2018 USD, purchaser price',0.004,0,0.004,?,3,2,1,3,1
324,'Petroleum and coal products','carbon dioxide','kg/2018 USD, purchaser price',0.524,0.006,0.53,?,4,2,1,3,1
324,'Petroleum and coal products',methane,'kg/2018 USD, purchaser price',0.012,0,0.012,?,4,2,1,1,1
324,'Petroleum and coal products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
324,'Petroleum and coal products','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,3,2,1,4,1
325,'Chemical products','carbon dioxide','kg/2018 USD, purchaser price',0.41,0.043,0.454,?,4,2,1,4,1
325,'Chemical products',methane,'kg/2018 USD, purchaser price',0.001,0,0.002,?,4,2,1,1,1
325,'Chemical products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,2,1
325,'Chemical products','other GHGs','kg CO2e/2018 USD, purchaser price',0.013,0,0.013,?,2,2,1,2,1
326,'Plastics and rubber products','carbon dioxide','kg/2018 USD, purchaser price',0.281,0.023,0.305,?,3,2,1,3,1
326,'Plastics and rubber products',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
326,'Plastics and rubber products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,2,1
326,'Plastics and rubber products','other GHGs','kg CO2e/2018 USD, purchaser price',0.012,0,0.012,?,3,2,1,4,1
327,'Nonmetallic mineral products','carbon dioxide','kg/2018 USD, purchaser price',0.848,0.02,0.867,?,3,2,1,2,1
327,'Nonmetallic mineral products',methane,'kg/2018 USD, purchaser price',0.002,0,0.002,?,4,2,1,1,1
327,'Nonmetallic mineral products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
327,'Nonmetallic mineral products','other GHGs','kg CO2e/2018 USD, purchaser price',0.004,0,0.004,?,3,2,1,4,1
331,'Primary metals','carbon dioxide','kg/2018 USD, purchaser price',0.235,0.035,0.27,?,2,2,1,2,1
331,'Primary metals',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
331,'Primary metals','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
331,'Primary metals','other GHGs','kg CO2e/2018 USD, purchaser price',0.024,0,0.024,?,3,2,1,2,1
332,'Fabricated metal products','carbon dioxide','kg/2018 USD, purchaser price',0.288,0.025,0.313,?,3,2,1,3,1
332,'Fabricated metal products',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
332,'Fabricated metal products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
332,'Fabricated metal products','other GHGs','kg CO2e/2018 USD, purchaser price',0.009,0,0.009,?,3,2,1,2,1
333,Machinery,'carbon dioxide','kg/2018 USD, purchaser price',0.205,0.026,0.231,?,3,2,1,3,1
333,Machinery,methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
333,Machinery,'nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
333,Machinery,'other GHGs','kg CO2e/2018 USD, purchaser price',0.035,0,0.035,?,4,2,1,5,1
334,'Computer and electronic products','carbon dioxide','kg/2018 USD, purchaser price',0.075,0.004,0.079,?,3,2,1,3,1
334,'Computer and electronic products',methane,'kg/2018 USD, purchaser price',0,0,0,?,4,2,1,1,1
334,'Computer and electronic products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,2,1
334,'Computer and electronic products','other GHGs','kg CO2e/2018 USD, purchaser price',0.016,0,0.016,?,2,2,1,1,1
335,'Electrical equipment, appliances, and components','carbon dioxide','kg/2018 USD, purchaser price',0.211,0.014,0.225,?,3,2,1,3,1
335,'Electrical equipment, appliances, and components',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
335,'Electrical equipment, appliances, and components','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
335,'Electrical equipment, appliances, and components','other GHGs','kg CO2e/2018 USD, purchaser price',0.011,0,0.011,?,3,2,1,3,1
3361MV,'Motor vehicles, bodies and trailers, and parts','carbon dioxide','kg/2018 USD, purchaser price',0.21,0.019,0.229,?,3,2,1,3,1
3361MV,'Motor vehicles, bodies and trailers, and parts',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
3361MV,'Motor vehicles, bodies and trailers, and parts','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
3361MV,'Motor vehicles, bodies and trailers, and parts','other GHGs','kg CO2e/2018 USD, purchaser price',0.02,0,0.02,?,4,2,1,4,1
3364OT,'Other transportation equipment','carbon dioxide','kg/2018 USD, purchaser price',0.117,0.013,0.13,?,3,2,1,3,1
3364OT,'Other transportation equipment',methane,'kg/2018 USD, purchaser price',0,0,0.001,?,4,2,1,1,1
3364OT,'Other transportation equipment','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
3364OT,'Other transportation equipment','other GHGs','kg CO2e/2018 USD, purchaser price',0.005,0,0.005,?,3,2,1,3,1
337,'Furniture and related products','carbon dioxide','kg/2018 USD, purchaser price',0.214,0.046,0.26,?,3,2,1,3,1
337,'Furniture and related products',methane,'kg/2018 USD, purchaser price',0.001,0.001,0.001,?,4,2,1,1,1
337,'Furniture and related products','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
337,'Furniture and related products','other GHGs','kg CO2e/2018 USD, purchaser price',0.02,0,0.02,?,4,2,1,4,1
339,'Miscellaneous manufacturing','carbon dioxide','kg/2018 USD, purchaser price',0.182,0.019,0.201,?,3,2,1,3,1
339,'Miscellaneous manufacturing',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
339,'Miscellaneous manufacturing','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,3,2,1,3,1
339,'Miscellaneous manufacturing','other GHGs','kg CO2e/2018 USD, purchaser price',0.006,0,0.006,?,3,2,1,3,1
42,'Wholesale trade','carbon dioxide','kg/2018 USD, purchaser price',0.128,0,0.128,?,3,2,1,3,1
42,'Wholesale trade',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,2,1,1,1
42,'Wholesale trade','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,3,1
42,'Wholesale trade','other GHGs','kg CO2e/2018 USD, purchaser price',0.003,0,0.003,?,4,2,1,4,1
441,'Motor vehicle and parts dealers','carbon dioxide','kg/2018 USD, purchaser price',0.126,0,0.126,?,3,2,1,3,1
441,'Motor vehicle and parts dealers',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,3,2,1,1,1
441,'Motor vehicle and parts dealers','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,3,1
441,'Motor vehicle and parts dealers','other GHGs','kg CO2e/2018 USD, purchaser price',0.002,0,0.002,?,4,2,1,4,1
445,'Food and beverage stores','carbon dioxide','kg/2018 USD, purchaser price',0.234,0,0.234,?,2,2,1,3,1
445,'Food and beverage stores',methane,'kg/2018 USD, purchaser price',0.001,0,0.001,?,4,2,1,1,1
445,'Food and beverage stores','nitrous oxide','kg/2018 USD, purchaser price',0,0,0,?,4,2,1,4,1
445,'Food and beverage stores','other GHGs','kg CO2e/2018 USD, purchaser price',0.004,0,0.004,?,4,2,1,4,1
452,'General merchandise stores','carbon dioxide','kg/2018 USD, purchaser price',0.174,0,0.174,?,3,2,1,3,1
